epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3936,1.39767,8.13506,2.88684,0.06979,0.24306,0.625,0.42225,0.28502,1.00327,4.94139,2.56515,0.07283,0.00045,0.00045,0.07045
2,102.596,1.15353,4.86072,2.16622,0.05947,0.83282,0.5,0.49687,0.37181,0.796,4.30387,2.45029,0.08768,0.00085595,0.00085595,0.0375226
3,150.161,1.10733,4.12582,2.23141,0.06353,0.44363,0.625,0.435,0.32685,0.81405,4.0729,2.36206,0.07996,0.0011629,0.0011629,0.00449623
4,197.346,0.97526,3.68098,2.23644,0.06135,0.6638,0.5,0.63911,0.50519,0.78015,3.06949,2.20966,0.05172,0.0010545,0.0010545,0.0010545
5,253.884,0.9359,3.38247,2.16142,0.03184,0.6979,0.5,0.55937,0.42797,0.72735,2.89056,2.06971,0.04988,0.000906,0.000906,0.000906
6,315.503,0.88341,3.02114,2.05388,0.02906,0.69454,0.48592,0.58042,0.44678,0.65433,2.81952,1.98539,0.03979,0.0007575,0.0007575,0.0007575
7,376.53,0.87132,2.88028,1.90601,0.04108,0.66769,0.5,0.62187,0.48583,0.61732,2.84364,1.95696,0.03885,0.000609,0.000609,0.000609
8,455.751,0.7664,2.73132,1.85185,0.02321,0.7078,0.5,0.66333,0.53586,0.59838,2.72399,1.93497,0.03875,0.0004605,0.0004605,0.0004605
9,525.406,0.75097,2.59429,1.82798,0.03018,0.73446,0.5,0.66333,0.56215,0.60147,2.58685,1.91093,0.03568,0.000312,0.000312,0.000312
10,601.573,0.71705,2.63435,1.82555,0.02897,0.72803,0.5,0.66333,0.56627,0.6034,2.565,1.91203,0.0346,0.0001635,0.0001635,0.0001635
