epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,103.015,1.04796,4.86135,1.96671,0.04682,0.70875,0.5,0.58042,0.48727,0.93877,4.81574,1.96381,0.11504,0.000251852,0.000251852,0.0687704
2,210.203,0.8859,4.03876,1.86654,0.03895,0.66229,0.5,0.597,0.53104,0.77131,4.99587,1.91351,0.05534,0.000475957,0.000475957,0.0356611
3,309.571,0.78088,3.49023,1.93192,0.03452,0.91998,0.5,0.64312,0.57683,0.62654,4.21662,1.91706,0.03394,0.000656284,0.000656284,0.00250814
4,390.451,0.75973,3.31256,1.8064,0.03264,0.91859,0.58333,0.59893,0.55555,0.59803,3.81988,1.87272,0.0339,0.000603,0.000603,0.000603
5,504.2,0.74209,3.01297,1.79589,0.02682,0.94756,0.58333,0.59893,0.55365,0.60053,3.36161,1.91003,0.03428,0.000537333,0.000537333,0.000537333
6,596.212,0.70263,2.73238,1.776,0.02802,0.96159,0.58333,0.6225,0.53796,0.58463,2.91496,1.91622,0.03804,0.000471667,0.000471667,0.000471667
7,685.935,0.66774,2.58257,1.70336,0.02891,0.94688,0.58333,0.64312,0.58146,0.55791,2.554,1.89771,0.04422,0.000406,0.000406,0.000406
8,785.371,0.68686,2.59468,1.83279,0.03092,0.92403,0.58333,0.64312,0.57598,0.53273,2.51609,1.88271,0.04833,0.000340333,0.000340333,0.000340333
9,873.684,0.62732,2.30254,1.80007,0.02276,0.91958,0.58333,0.64312,0.57498,0.54192,2.42398,1.87418,0.04473,0.000274667,0.000274667,0.000274667
10,968.645,0.60739,2.25313,1.71434,0.02362,0.94368,0.58333,0.705,0.60052,0.57663,2.72417,1.87646,0.03956,0.000209,0.000209,0.000209
11,1065.16,0.6433,2.30685,1.79089,0.03178,0.71451,0.70833,0.705,0.61258,0.58723,2.8501,1.85666,0.03777,0.000143333,0.000143333,0.000143333
12,1150.19,0.61554,2.23932,1.68296,0.02424,0.76098,0.70833,0.705,0.61258,0.5849,2.84572,1.84207,0.03681,7.76667e-05,7.76667e-05,7.76667e-05
